Plate Date,DayNum,Plate ID,Column (Letter),Row (Number),Species,Notes (uncertain ID),,,,Species Codes,,,,,,,
1-May-12,0,A1,A,1,X,,,,,X,No organism present,,,,,1,X
1-May-12,0,A1,A,2,X,,,,,WS,Watersipora subtorquata,,,,,2,A
1-May-12,0,A1,A,3,X,,,,,BV,Botrylloides violaceus,,,,,3,OS
1-May-12,0,A1,A,4,X,,,,,WS,Watersipora subtorquata,,,,,4,BV
1-May-12,0,A1,A,5,X,,,,,DV,Didemnum vexillum,,,,,5,WS
1-May-12,0,A1,A,6,X,,,,,AC,Ascidia ceratodes,,,,,6,DO
1-May-12,0,A1,A,7,X,,,,,BS,Botryllus schlosseri,,,,,7,BS
1-May-12,0,A1,A,8,X,,,,,DO,Distaplia occidentalis,,,,,8,SS
1-May-12,0,A1,A,9,X,,,,,BG,Bowerbankia gracilis,,,,,9,BN
1-May-12,0,A1,A,10,X,,,,,BN,Bugula neritina,,,,,10,DV
1-May-12,0,A1,A,11,X,,,,,DL,Diplosoma listerianum,,,,,11,MS
1-May-12,0,A1,B,1,X,,,,,SS,Schizoporella sp.,,,,,12,DL
1-May-12,0,A1,B,2,X,,,,,BC,Bugula californica,,,,,13,AC
1-May-12,0,A1,B,3,X,,,,,OS,Obelia sp.,,,,,14,BG
1-May-12,0,A1,B,4,X,,,,,A,Algae,,,,,,
1-May-12,0,A1,B,5,X,,,,,MS,Metridium senile,,,,,,
1-May-12,0,A1,B,6,X,,,,,E,Eggs,,,,,,
1-May-12,0,A1,B,7,X,,,,,,,,,,,,
1-May-12,0,A1,B,8,X,,,,,,,,,,,,
1-May-12,0,A1,B,9,X,,,,,,,,,,,,
1-May-12,0,A1,B,10,X,,,,,,,,,,,,
1-May-12,0,A1,B,11,X,,,,,,,,,,,,
1-May-12,0,A1,B,12,X,,,,,,,,,,,,
1-May-12,0,A1,C,1,X,,,,,,,,,,,,
1-May-12,0,A1,C,2,X,,,,,,,,,,,,
1-May-12,0,A1,C,3,X,,,,,,,,,,,,
1-May-12,0,A1,C,4,X,,,,,,,,,,,,
1-May-12,0,A1,C,5,X,,,,,,,,,,,,
1-May-12,0,A1,C,6,X,,,,,,,,,,,,
1-May-12,0,A1,C,7,X,,,,,,,,,,,,
1-May-12,0,A1,C,8,X,,,,,,,,,,,,
1-May-12,0,A1,C,9,X,,,,,,,,,,,,
1-May-12,0,A1,C,10,X,,,,,,,,,,,,
1-May-12,0,A1,C,11,X,,,,,,,,,,,,
1-May-12,0,A1,D,1,X,,,,,,,,,,,,
1-May-12,0,A1,D,2,X,,,,,,,,,,,,
1-May-12,0,A1,D,3,X,,,,,,,,,,,,
1-May-12,0,A1,D,4,X,,,,,,,,,,,,
1-May-12,0,A1,D,5,X,,,,,,,,,,,,
1-May-12,0,A1,D,6,X,,,,,,,,,,,,
1-May-12,0,A1,D,7,X,,,,,,,,,,,,
1-May-12,0,A1,D,8,X,,,,,,,,,,,,
1-May-12,0,A1,D,9,X,,,,,,,,,,,,
1-May-12,0,A1,D,10,X,,,,,,,,,,,,
1-May-12,0,A1,D,11,X,,,,,,,,,,,,
1-May-12,0,A1,D,12,X,,,,,,,,,,,,
1-May-12,0,A1,E,1,X,,,,,,,,,,,,
1-May-12,0,A1,E,2,X,,,,,,,,,,,,
1-May-12,0,A1,E,3,X,,,,,,,,,,,,
1-May-12,0,A1,E,4,X,,,,,,,,,,,,
1-May-12,0,A1,E,5,X,,,,,,,,,,,,
1-May-12,0,A1,E,6,X,,,,,,,,,,,,
1-May-12,0,A1,E,7,X,,,,,,,,,,,,
1-May-12,0,A1,E,8,X,,,,,,,,,,,,
1-May-12,0,A1,E,9,X,,,,,,,,,,,,
1-May-12,0,A1,E,10,X,,,,,,,,,,,,
1-May-12,0,A1,E,11,X,,,,,,,,,,,,
1-May-12,0,A1,F,1,X,,,,,,,,,,,,
1-May-12,0,A1,F,2,X,,,,,,,,,,,,
1-May-12,0,A1,F,3,X,,,,,,,,,,,,
1-May-12,0,A1,F,4,X,,,,,,,,,,,,
1-May-12,0,A1,F,5,X,,,,,,,,,,,,
1-May-12,0,A1,F,6,X,,,,,,,,,,,,
1-May-12,0,A1,F,7,X,,,,,,,,,,,,
1-May-12,0,A1,F,8,X,,,,,,,,,,,,
1-May-12,0,A1,F,9,X,,,,,,,,,,,,
1-May-12,0,A1,F,10,X,,,,,,,,,,,,
1-May-12,0,A1,F,11,X,,,,,,,,,,,,
1-May-12,0,A1,F,12,X,,,,,,,,,,,,
1-May-12,0,A1,G,1,X,,,,,,,,,,,,
1-May-12,0,A1,G,2,X,,,,,,,,,,,,
1-May-12,0,A1,G,3,X,,,,,,,,,,,,
1-May-12,0,A1,G,4,X,,,,,,,,,,,,
1-May-12,0,A1,G,5,X,,,,,,,,,,,,
1-May-12,0,A1,G,6,X,,,,,,,,,,,,
1-May-12,0,A1,G,7,X,,,,,,,,,,,,
1-May-12,0,A1,G,8,X,,,,,,,,,,,,
1-May-12,0,A1,G,9,X,,,,,,,,,,,,
1-May-12,0,A1,G,10,X,,,,,,,,,,,,
1-May-12,0,A1,G,11,X,,,,,,,,,,,,
1-May-12,0,A1,H,1,X,,,,,,,,,,,,
1-May-12,0,A1,H,2,X,,,,,,,,,,,,
1-May-12,0,A1,H,3,X,,,,,,,,,,,,
1-May-12,0,A1,H,4,X,,,,,,,,,,,,
1-May-12,0,A1,H,5,X,,,,,,,,,,,,
1-May-12,0,A1,H,6,X,,,,,,,,,,,,
1-May-12,0,A1,H,7,X,,,,,,,,,,,,
1-May-12,0,A1,H,8,X,,,,,,,,,,,,
1-May-12,0,A1,H,9,X,,,,,,,,,,,,
1-May-12,0,A1,H,10,X,,,,,,,,,,,,
1-May-12,0,A1,H,11,X,,,,,,,,,,,,
1-May-12,0,A1,H,12,X,,,,,,,,,,,,
1-May-12,0,A1,I,1,X,,,,,,,,,,,,
1-May-12,0,A1,I,2,X,,,,,,,,,,,,
1-May-12,0,A1,I,3,X,,,,,,,,,,,,
1-May-12,0,A1,I,4,X,,,,,,,,,,,,
1-May-12,0,A1,I,5,X,,,,,,,,,,,,
1-May-12,0,A1,I,6,X,,,,,,,,,,,,
1-May-12,0,A1,I,7,X,,,,,,,,,,,,
1-May-12,0,A1,I,8,X,,,,,,,,,,,,
1-May-12,0,A1,I,9,X,,,,,,,,,,,,
1-May-12,0,A1,I,10,X,,,,,,,,,,,,
1-May-12,0,A1,I,11,X,,,,,,,,,,,,
1-May-12,0,A1,J,1,X,,,,,,,,,,,,
1-May-12,0,A1,J,2,X,,,,,,,,,,,,
1-May-12,0,A1,J,3,X,,,,,,,,,,,,
1-May-12,0,A1,J,4,X,,,,,,,,,,,,
1-May-12,0,A1,J,5,X,,,,,,,,,,,,
1-May-12,0,A1,J,6,X,,,,,,,,,,,,
1-May-12,0,A1,J,7,X,,,,,,,,,,,,
1-May-12,0,A1,J,8,X,,,,,,,,,,,,
1-May-12,0,A1,J,9,X,,,,,,,,,,,,
1-May-12,0,A1,J,10,X,,,,,,,,,,,,
1-May-12,0,A1,J,11,X,,,,,,,,,,,,
1-May-12,0,A1,J,12,X,,,,,,,,,,,,
1-May-12,0,A1,K,1,X,,,,,,,,,,,,
1-May-12,0,A1,K,2,X,,,,,,,,,,,,
1-May-12,0,A1,K,3,X,,,,,,,,,,,,
