2006,Avg Temp,2-Week Avg
3/17,12.32174757,
3/18,11.8896875,
3/19,12.00940972,
3/20,11.81288194,
3/21,11.69975694,
3/22,12.23940972,
3/23,12.62864583,
3/24,12.57628472,
3/25,12.65572917,
3/26,12.81642361,
3/27,12.35052083,
3/28,11.79114583,
3/29,11.73236111,
3/30,11.77684028,
3/31,11.57486111,
4/1,12.25114583,
4/2,12.97760417,
4/3,12.57916667,
4/4,12.34246528,
4/5,12.84965278,
4/6,13.38420139,
4/7,13.06024306,
4/8,12.94885417,
4/9,13.89381944,
4/10,14.23208333,
4/11,13.78815972,
4/12,13.04892361,
4/13,13.75027778,
4/14,13.48545139,
4/15,13.12010417,
4/16,13.16993056,
4/17,13.22725694,
4/18,13.85347222,
4/19,14.22451389,
4/20,14.53763889,
4/21,14.29864583,
4/22,13.98989583,
4/23,14.24902778,
4/24,13.82246528,
4/25,13.51690972,
4/26,13.89694444,
4/27,13.86184028,
4/28,13.6315625,
4/29,13.35190972,
4/30,14.05472222,
5/1,14.06576389,
5/2,13.89201389,
5/3,13.35444444,
5/4,13.58826389,
5/5,13.60690972,
5/6,13.85503472,
5/7,14.22055556,
5/8,13.81315972,
5/9,13.651875,
5/10,13.86920139,
5/11,13.60111111,
5/12,13.04548611,13.68164141
5/13,12.71489583,
5/14,13.24059028,
5/15,13.91972222,
5/16,14.23795139,
5/17,14.08423611,
5/18,13.72204861,
5/19,13.12017361,
5/20,13.45201389,
5/21,14.49170139,
5/22,14.97090278,
5/23,15.57559028,
5/24,15.90368056,
5/25,16.17684028,
5/26,15.16913194,14.34139137
5/27,13.52625,
5/28,12.93826389,
5/29,12.70538194,
5/30,12.99010417,
5/31,13.05923611,
6/1,12.9546875,
6/2,13.41267361,
6/3,13.90076389,
6/4,14.72038194,
6/5,14.63583333,
6/6,14.59684028,
6/7,14.28809028,
6/8,14.03208333,
6/9,14.101875,
6/10,13.55236111,
6/11,12.80510417,
6/12,12.44454861,
6/13,13.12253472,13.54372299
6/14,13.808125,
6/15,14.49549091,
6/16,14.80711806,
6/17,14.71267361,
6/18,14.023125,
6/19,13.94104167,
6/20,14.35177083,
6/21,14.45,
6/22,14.76954861,
6/23,15.5615625,
6/24,15.12184028,
6/25,15.14416667,
6/26,15.60229167,
6/27,15.60784722,
6/28,15.71208333,14.80724569
6/29,16.35923611,
6/30,16.6334375,
7/1,16.15697917,
7/2,15.588125,
7/3,15.08034722,
7/4,14.58604167,
7/5,14.58260417,
7/6,14.44746528,
7/7,14.56944444,
7/8,14.2171875,
7/9,13.84746528,
7/10,13.56329861,
7/11,13.38263889,14.8472516
7/12,13.31052083,
7/13,13.47697917,
7/14,13.84725694,
7/15,14.30756944,
7/16,14.94552083,
7/17,15.55902778,
7/18,16.32729167,
7/19,16.86746528,
7/20,17.104375,
7/21,17.560625,
7/22,18.03885417,
7/23,18.6375,
7/24,18.93541667,16.07064637
